halo_number,halfmass_clara,mass_clara,mass_tng,mass_difference
0,7344.3142181565745,14688.628436313149,14513.2470703125,-175.381366000649
1,60.21360142192245,120.4272028438449,118.9759750366211,-1.4512278072238018
2,70.82971895807508,141.65943791615015,137.91033935546875,-3.7490985606814036
3,13.745708600336318,27.491417200672636,27.48378562927246,-0.007631571400175119
4,7.501125282864937,15.002250565729874,14.741250038146973,-0.26100052758290104
5,15.555727069760543,31.111454139521086,29.856422424316406,-1.2550317152046802
6,12.814413851618992,25.628827703237985,25.5902156829834,-0.0386120202545861
7,11.353090188005645,22.70618037601129,22.556848526000977,-0.1493318500103129
8,4.325444072989035,8.65088814597807,8.003390312194824,-0.6474978337832464
9,7.669640478526656,15.339280957053312,15.352665901184082,0.013384944130770293
10,5.359308517730488,10.718617035460976,10.743539810180664,0.024922774719687624
11,3.5718006503267192,7.1436013006534385,7.0183329582214355,-0.1252683424320029
12,3.4839067768351955,6.967813553670391,6.885075569152832,-0.08273798451755887
13,5.3271687265045795,10.654337453009159,10.624065399169922,-0.030272053839237145
14,7.016470930381362,14.032941860762724,13.279340744018555,-0.7536011167441696
15,3.695291033330821,7.390582066661642,7.37174129486084,-0.018840771800801903
16,7.834952928502504,15.669905857005007,15.474213600158691,-0.19569225684631597
17,7.746736537966694,15.493473075933387,15.334152221679688,-0.1593208542536999
18,5.729358265089213,11.458716530178426,11.132858276367188,-0.3258582538112389
19,7.24140287005552,14.48280574011104,13.885687828063965,-0.5971179120470751
20,5.454902402923887,10.909804805847774,10.78642749786377,-0.12337730798400415
21,7.5729811946524705,15.145962389304941,14.326716423034668,-0.8192459662702731
22,3.017161271914323,6.034322543828646,6.058252334594727,0.023929790766080927
23,5.466168527064232,10.932337054128464,10.581897735595703,-0.3504393185327608
24,6.530046061347403,13.060092122694806,12.723034858703613,-0.33705726399119307
25,4.999650700793632,9.999301401587264,9.697722434997559,-0.3015789665897053
26,3.7571949468015857,7.5143898936031714,7.439597129821777,-0.0747927637813941
27,4.608612735954569,9.217225471909138,9.16678237915039,-0.05044309275874781
28,2.181234571606862,4.362469143213724,4.314563751220703,-0.04790539199302124
29,4.622163008645153,9.244326017290305,8.919991493225098,-0.3243345240652076
