halo_number,halfmass_clara,mass_clara,mass_tng,mass_difference,mass_difference /mass_tng
0,7344.314218,14688.62844,14513.24707,-175.381366,-0.012084227
1,60.21360142,120.4272028,118.975975,-1.451227807,-0.012197654
2,70.82971896,141.6594379,137.9103394,-3.749098561,-0.027185043
3,13.7457086,27.4914172,27.48378563,-0.007631571,-0.000277675
4,7.501125283,15.00225057,14.74125004,-0.261000528,-0.017705454
5,15.55572707,31.11145414,29.85642242,-1.255031715,-0.042035569
6,12.81441385,25.6288277,25.59021568,-0.03861202,-0.001508859
7,11.35309019,22.70618038,22.55684853,-0.14933185,-0.006620244
8,4.325444073,8.650888146,8.003390312,-0.647497834,-0.080902943
9,7.669640479,15.33928096,15.3526659,0.013384944,0.000871832
10,5.359308518,10.71861704,10.74353981,0.024922775,0.002319792
11,3.57180065,7.143601301,7.018332958,-0.125268342,-0.017848732
12,3.483906777,6.967813554,6.885075569,-0.082737985,-0.012017005
13,5.327168727,10.65433745,10.6240654,-0.030272054,-0.002849385
14,7.01647093,14.03294186,13.27934074,-0.753601117,-0.056749889
15,3.695291033,7.390582067,7.371741295,-0.018840772,-0.00255581
16,7.834952929,15.66990586,15.4742136,-0.195692257,-0.012646346
17,7.746736538,15.49347308,15.33415222,-0.159320854,-0.010389936
18,5.729358265,11.45871653,11.13285828,-0.325858254,-0.029269954
19,7.24140287,14.48280574,13.88568783,-0.597117912,-0.043002401
20,5.454902403,10.90980481,10.7864275,-0.123377308,-0.011438199
21,7.572981195,15.14596239,14.32671642,-0.819245966,-0.057183094
22,3.017161272,6.034322544,6.058252335,0.023929791,0.003949949
23,5.466168527,10.93233705,10.58189774,-0.350439319,-0.033116869
24,6.530046061,13.06009212,12.72303486,-0.337057264,-0.026491892
25,4.999650701,9.999301402,9.697722435,-0.301578967,-0.031097917
26,3.757194947,7.514389894,7.43959713,-0.074792764,-0.010053335
27,4.608612736,9.217225472,9.166782379,-0.050443093,-0.005502813
28,2.181234572,4.362469143,4.314563751,-0.047905392,-0.011103183
29,4.622163009,9.244326017,8.919991493,-0.324334524,-0.036360407
